model_type,aggregation_strategy,privacy_technique,num_rounds,loss,mae,mse,r2,avg_training_time,avg_inference_time,total_samples,elapsed_time
ols,fedavg,none,10,,8.520373901864152,145.99309816798797,0.9896405768701487,529.9582405090332,0.0001033893713533227,9334,57.68789196014404
ols,fedavg,clipping,10,,8.520373901864152,145.99309816798797,0.9896405768701487,529.9582405090332,0.0001033893713533227,9334,57.68789196014404
ols,fedavg,noising,10,,8.520373901864152,145.99309816798797,0.9896405768701487,529.9582405090332,0.0001033893713533227,9334,57.68789196014404
ols,fedavg,clipping_noising,10,,8.520373901864152,145.99309816798797,0.9896405768701487,529.9582405090332,0.0001033893713533227,9334,57.68789196014404
ols,fedmed,none,10,,8.520373901864152,145.99309816798797,0.9896405768701487,525.614200592041,8.678221717901498e-05,9334,30.648849964141846
ols,fedmed,clipping,10,,8.520373901864152,145.99309816798797,0.9896405768701487,525.614200592041,8.678221717901498e-05,9334,30.648849964141846
ols,fedmed,noising,10,,8.520373901864152,145.99309816798797,0.9896405768701487,534.8893413543701,0.0002080127517033216,9334,27.63163161277771
ols,fedmed,clipping_noising,10,,8.520373901864152,145.99309816798797,0.9896405768701487,534.8893413543701,0.0002080127517033216,9334,27.63163161277771
ridge,fedavg,none,10,,8.520373901864152,145.99309816798797,0.9896405768701487,553.6525311470032,0.0001144020159443262,9334,28.778638124465942
ridge,fedavg,clipping,10,,8.520373901864152,145.99309816798797,0.9896405768701487,553.1870269775391,0.0006292154683222831,9334,19.032227754592896
ridge,fedavg,noising,10,,28.84454681808442,1601.3937218770088,0.8863678121049084,0.040830135345458984,0.0004531648293383402,9334,19.812422037124634
ridge,fedavg,clipping_noising,10,,28.84454681808442,1601.3937218770088,0.8863678121049084,0.03589653968811035,0.000284528742517014,9334,20.342490434646606
ridge,fedmed,none,10,,28.84454681808442,1601.3937218770088,0.8863678121049084,0.0324857234954834,0.00026471448297134834,9334,15.568747758865356
ridge,fedmed,clipping,10,,28.84454681808442,1601.3937218770088,0.8863678121049084,0.038211822509765625,0.00046133430555338314,9334,18.619788646697998
ridge,fedmed,noising,10,,28.84454681808442,1601.3937218770088,0.8863678121049084,0.2592287063598633,0.0005384853725543695,9334,27.26079535484314
ridge,fedmed,clipping_noising,10,,8.520373901864152,145.99309816798797,0.9896405768701487,560.2781455516815,0.0001596996047038554,9334,32.79258322715759
lasso,fedavg,none,10,,8.520373901864152,145.99309816798797,0.9896405768701487,560.2781455516815,0.0001596996047038554,9334,32.79258322715759
lasso,fedavg,clipping,10,,8.520373901864152,145.99309816798797,0.9896405768701487,560.2781455516815,0.0001596996047038554,9334,32.79258322715759
lasso,fedavg,noising,10,,8.520373901864152,145.99309816798797,0.9896405768701487,573.3741426467896,0.00011193790603353248,9334,32.770861864089966
lasso,fedavg,clipping_noising,10,,28.84454681808442,1601.3937218770088,0.8863678121049084,0.03664422035217285,0.00040620027733789105,9334,24.682562351226807
lasso,fedmed,none,10,,28.84454681808442,1601.3937218770088,0.8863678121049084,0.048552513122558594,0.00039596674604234025,9334,48.86450505256653
lasso,fedmed,clipping,10,,28.84454681808442,1601.3937218770088,0.8863678121049084,0.039157867431640625,0.00031591205032933874,9334,27.458020210266113
lasso,fedmed,noising,10,,8.520373901864152,145.99309816798797,0.9896405768701487,591.5969622135162,0.00010394574948595504,9334,30.499117612838745
lasso,fedmed,clipping_noising,10,,28.84454681808442,1601.3937218770088,0.8863678121049084,0.03912544250488281,0.0004290478475246589,9334,31.43186354637146
bayesian_ridge,fedavg,none,10,,8.520373901864152,145.99309816798797,0.9896405768701487,605.1223003864288,8.829339352107697e-05,9334,27.065773487091064
bayesian_ridge,fedavg,clipping,10,,8.520373901864152,145.99309816798797,0.9896405768701487,605.1223003864288,8.829339352107697e-05,9334,27.065773487091064
bayesian_ridge,fedavg,noising,10,,8.520373901864152,145.99309816798797,0.9896405768701487,605.1223003864288,8.829339352107697e-05,9334,27.065773487091064
bayesian_ridge,fedavg,clipping_noising,10,,8.520373901864152,145.99309816798797,0.9896405768701487,605.1223003864288,8.829339352107697e-05,9334,27.065773487091064
bayesian_ridge,fedmed,none,10,,8.157849351589766,136.15446261642842,0.9903387097954581,1015.8826515674591,1.3014579038944903e-05,9334,41.210837602615356
bayesian_ridge,fedmed,clipping,10,,8.157849351589766,136.15446261642842,0.9903387097954581,1015.8826515674591,1.3014579038944903e-05,9334,41.210837602615356
bayesian_ridge,fedmed,noising,10,,8.157849351589766,136.15446261642842,0.9903387097954581,1015.8826515674591,1.3014579038944903e-05,9334,41.210837602615356
bayesian_ridge,fedmed,clipping_noising,10,,8.157849351589766,136.15446261642842,0.9903387097954581,1015.8826515674591,1.3014579038944903e-05,9334,41.210837602615356
decision_tree,fedavg,none,10,,8.157849351589766,136.15446261642842,0.9903387097954581,1015.8826515674591,1.3014579038944903e-05,9334,41.210837602615356
decision_tree,fedavg,clipping,10,,8.520373901864152,145.99309816798797,0.9896405768701487,592.9372713565826,0.00010001564884124488,9334,41.26834273338318
decision_tree,fedavg,noising,10,,8.520373901864152,145.99309816798797,0.9896405768701487,592.9372713565826,0.00010001564884124488,9334,41.26834273338318
decision_tree,fedavg,clipping_noising,10,,8.157849351589766,136.15446261642842,0.9903387097954581,707.2031366825104,1.770213249538398e-05,9334,48.29908990859985
decision_tree,fedmed,none,10,,8.520373901864152,145.99309816798797,0.9896405768701487,590.626193523407,0.000125310930317874,9334,62.840662479400635
decision_tree,fedmed,clipping,10,,8.520373901864152,145.99309816798797,0.9896405768701487,590.626193523407,0.000125310930317874,9334,62.840662479400635
decision_tree,fedmed,noising,10,,8.520373901864152,145.99309816798797,0.9896405768701487,590.626193523407,0.000125310930317874,9334,62.840662479400635
decision_tree,fedmed,clipping_noising,10,,8.520373901864152,145.99309816798797,0.9896405768701487,590.626193523407,0.000125310930317874,9334,62.840662479400635
random_forest,fedavg,none,10,,8.520373901864152,145.99309816798797,0.9896405768701487,590.626193523407,0.000125310930317874,9334,62.840662479400635
random_forest,fedavg,clipping,10,,8.157849351589766,136.15446261642842,0.9903387097954581,640.7798326015472,1.6947131813887945e-05,9334,22.416507959365845
random_forest,fedavg,noising,10,,8.520373901864152,145.99309816798797,0.9896405768701487,567.5010764598846,0.0001798668432879402,9334,20.300819396972656
random_forest,fedavg,clipping_noising,10,,8.520373901864152,145.99309816798797,0.9896405768701487,567.5010764598846,0.0001798668432879402,9334,20.300819396972656
random_forest,fedmed,none,10,,8.520373901864152,145.99309816798797,0.9896405768701487,567.5010764598846,0.0001798668432879402,9334,20.300819396972656
random_forest,fedmed,clipping,10,,8.520373901864152,145.99309816798797,0.9896405768701487,540.2078552246094,8.954058271775492e-05,9334,40.31488370895386
random_forest,fedmed,noising,10,,28.84454681808442,1601.3937218770088,0.8863678121049084,0.054682016372680664,0.00039935635631488533,9334,26.553298950195312
random_forest,fedmed,clipping_noising,10,,28.84454681808442,1601.3937218770088,0.8863678121049084,0.03306150436401367,0.0002770021331113591,9334,26.48898959159851
